
Host: cmpsrv002

Timers On : Fri Mar 15 09:34:31 2024
Timers Off: Sat Mar 16 09:22:01 2024

Wall Time:    85650.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Disp20                              :   2568.200u    192.100s    255.934w     19 calls
Exch-Disp20                         :  49848.367u   1068.883s   3129.685w     19 calls
Elst12                              :      0.850u      0.083s      0.073w     19 calls
Exch11                              :    419.817u     76.683s     37.727w     19 calls
Exch12                              : 384817.267u   8019.050s  22544.831w     19 calls
Ind22                               :  19314.350u   3060.567s   2912.503w     19 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :  25615.467u   1752.550s   1698.737w     19 calls
| Libint2ERI::Libint2ERI            :     43.683u      0.083s     26.270w     38 calls
| JK: (A|mn)                        :    961.667u    808.100s     88.491w     19 calls
| JK: (A|Q)^-1/2                    :    333.100u      9.983s     17.156w     19 calls
| | Libint2ERI::Libint2ERI          :      0.550u      0.017s      0.028w    228 calls
| JK: (Q|mn)                        :   3106.017u    132.683s    173.665w     19 calls
| HF: Form core H                   :     42.100u      1.133s      2.193w     19 calls
| HF: Form S/X                      :     62.433u      2.333s      3.243w     19 calls
| HF: Guess                         :     86.650u     14.467s      5.073w     19 calls
| | SAD Guess                       :     85.300u     14.400s      5.004w     19 calls
| HF: Form G                        :  19247.000u    399.650s   1101.885w    285 calls
| | JK: D                           :      7.233u      0.267s      0.404w    285 calls
| | JK: USO2AO                      :      0.467u      0.067s      0.023w    285 calls
| | JK: JK                          :  19231.183u    398.767s   1101.019w    285 calls
| | | JK: J                         :   1262.050u     64.317s    173.867w    285 calls
| | | | JK: J1                      :   1111.683u     63.917s     87.082w    285 calls
| | | | JK: J2                      :    143.567u      0.000s     86.100w    285 calls
| | | JK: K                         :  17605.433u    271.350s    901.239w    285 calls
| | | | JK: K1                      :  13618.250u    242.217s    693.104w    285 calls
| | | | JK: K2                      :   3986.667u     29.083s    208.040w    285 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w    285 calls
| HF: Form F                        :      4.917u      0.267s      0.279w    285 calls
| HF: Form D                        :      7.183u      0.200s      0.395w    285 calls
| HF: DIIS                          :    496.067u     41.000s     26.979w    266 calls
| HF: Form C                        :    826.850u     31.150s     42.899w    266 calls
SAPT: Monomer A SCF                 :  15764.033u    450.383s   1011.245w     19 calls
| Libint2ERI::Libint2ERI            :     42.667u      0.000s     25.587w     38 calls
| HF: Form core H                   :     43.517u      1.250s      2.288w     19 calls
| HF: Form S/X                      :     57.550u      2.367s      3.012w     19 calls
| HF: Guess                         :     55.117u     11.467s      3.338w     19 calls
| | SAD Guess                       :     54.083u     11.417s      3.283w     19 calls
| HF: Form G                        :  14085.750u    215.467s    800.364w    247 calls
| | JK: D                           :      5.633u      0.217s      0.305w    247 calls
| | JK: USO2AO                      :      0.583u      0.033s      0.024w    247 calls
| | JK: JK                          :  14073.200u    214.850s    799.697w    247 calls
| | | JK: J                         :   1075.283u     55.600s    139.769w    247 calls
| | | | JK: J1                      :    954.500u     55.333s     69.986w    247 calls
| | | | JK: J2                      :    115.183u      0.000s     69.205w    247 calls
| | | JK: K                         :  12805.950u    130.100s    648.002w    247 calls
| | | | JK: K1                      :  10926.867u    112.100s    552.017w    247 calls
| | | | JK: K2                      :   1878.617u     18.000s     95.908w    247 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w    247 calls
| HF: Form F                        :      3.717u      0.200s      0.217w    247 calls
| HF: Form D                        :      5.267u      0.183s      0.295w    247 calls
| HF: DIIS                          :    398.767u     31.917s     21.597w    228 calls
| HF: Form C                        :    735.983u     28.017s     38.203w    228 calls
SAPT: Monomer B SCF                 :  16055.583u    436.783s   1026.857w     19 calls
| Libint2ERI::Libint2ERI            :     43.367u      0.000s     26.032w     38 calls
| HF: Form core H                   :     48.800u      1.617s      2.578w     19 calls
| HF: Form S/X                      :     63.050u      2.400s      3.283w     19 calls
| HF: Guess                         :     29.867u      1.200s      1.554w     19 calls
| | SAD Guess                       :     28.850u      1.067s      1.496w     19 calls
| HF: Form G                        :  14418.167u    213.967s    818.822w    266 calls
| | JK: D                           :      5.650u      0.233s      0.316w    266 calls
| | JK: USO2AO                      :      0.583u      0.050s      0.023w    266 calls
| | JK: JK                          :  14405.167u    213.333s    818.135w    266 calls
| | | JK: J                         :   1150.067u     61.467s    146.464w    266 calls
| | | | JK: J1                      :   1023.050u     61.200s     73.016w    266 calls
| | | | JK: J2                      :    121.350u      0.000s     72.833w    266 calls
| | | JK: K                         :  13067.217u    124.100s    660.357w    266 calls
| | | | JK: K1                      :  11309.900u    108.950s    571.021w    266 calls
| | | | JK: K2                      :   1756.817u     15.150s     89.251w    266 calls
| | JK: AO2USO                      :      0.017u      0.000s      0.000w    266 calls
| HF: Form F                        :      3.983u      0.217s      0.224w    266 calls
| HF: Form D                        :      5.567u      0.250s      0.315w    266 calls
| HF: DIIS                          :    408.400u     33.150s     22.125w    247 calls
| HF: Form C                        :    707.317u     25.567s     36.652w    247 calls
DF Integrals                        : 100951.417u   8899.800s   8404.059w     19 calls
| Libint2ERI::Libint2ERI            :    347.267u      5.400s    172.093w    494 calls
Omega Integrals                     :    100.383u    686.467s    472.145w     19 calls
Amplitudes                          : 662938.567u  10725.650s  40008.747w     19 calls
Elst10                              :      0.000u      0.000s      0.001w     19 calls
Exch10 S^2                          :      5.433u      0.417s      0.558w     19 calls
Exch10                              :     21.867u      1.067s      1.145w     19 calls
Ind20,r                             :  76560.300u   1071.783s   4086.446w     19 calls
Exch-Ind20,r                        :   1064.767u    175.217s     84.616w     19 calls
Disp20                              :   2568.200u    192.100s    255.934w     19 calls
Exch-Disp20                         :  49848.367u   1068.883s   3129.685w     19 calls
Elst12                              :      0.850u      0.083s      0.073w     19 calls
Exch11                              :    419.817u     76.683s     37.727w     19 calls
Exch12                              : 384817.267u   8019.050s  22544.831w     19 calls
Ind22                               :  19314.350u   3060.567s   2912.503w     19 calls

**************************************************************************************
